FORMES ORTHOGRAPHIQUES,NLET,SYNT,CP F,CP D,CP U,CP SFI,CE1 F,CE1 D,CE1 U,CE1 SFI,CE2-CM2 F,CE2-CM2 D,CE2-CM2 U,CE2-CM2 SFI,CP-CM2 F,CP-CM2 D,CP-CM2 U,CP-CM2 SFI
dressait,8,VER,,,,,2,0.27,1.84,42.64,26,0.78,14.76,51.69,28,0.68,10.11,50.05
dressâmes,9,VER,,,,,,,,,1,0.00,0.03,24.35,1,0.00,0.01,21.57
dressant,8,VER,,,,,1,0.00,0.20,33.08,10,0.57,4.21,46.24,11,0.51,3.00,44.77
dresse,6,VER,3,0.43,8.32,49.20,13,0.69,26.79,54.28,33,0.86,20.50,53.12,49,0.81,21.01,53.22
dressé,6,VER,2,0.27,3.89,45.90,4,0.41,5.24,47.19,17,0.60,7.62,48.82,23,0.62,7.58,48.79
dressé,6,ADJ,1,0.00,0.42,36.25,3,0.00,0.22,33.40,8,0.52,3.12,44.95,12,0.50,3.19,45.04
dressée,7,ADJ,,,,,2,0.27,1.86,42.69,7,0.44,2.35,43.70,9,0.46,2.23,43.48
dressée,7,VER,,,,,1,0.00,0.29,34.61,6,0.47,2.13,43.29,7,0.44,1.67,42.23
dressées,8,ADJ,,,,,3,0.43,4.01,46.03,4,0.42,1.25,40.98,7,0.49,1.82,42.61
dressées,8,VER,,,,,2,0.27,1.81,42.58,2,0.21,0.36,35.60,4,0.35,0.76,38.83
dressent,8,VER,,,,,3,0.43,4.11,46.14,11,0.68,5.52,47.42,14,0.64,4.75,46.76
dresser,7,VER,,,,,4,0.54,6.59,48.19,33,0.77,18.66,52.71,37,0.70,13.74,51.38
dressèrent,10,VER,,,,,,,,,5,0.48,1.82,42.60,5,0.40,1.10,40.43
dresserons,10,VER,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
dresseront,10,VER,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
dressés,7,ADJ,,,,,1,0.00,0.07,28.63,4,0.31,1.02,40.09,3,0.28,0.45,36.54
dressés,7,VER,,,,,1,0.00,0.23,33.69,2,0.21,0.33,35.25,5,0.33,0.94,39.74
dresseur,8,NC,,,,,2,0.00,0.15,31.64,3,0.33,0.79,38.98,5,0.33,0.92,39.63
dribble,7,NC,,,,,,,,,2,0.00,0.05,26.96,2,0.00,0.03,24.18
drille,6,NC,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
dring,5,INT,4,0.00,2.44,43.88,2,0.27,1.87,42.72,1,0.00,0.02,22.72,7,0.29,1.09,40.38
drink,5,NC,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
drinn,5,NP,,,,,,,,,7,0.00,0.17,32.39,7,0.00,0.09,29.61
drinns,6,NP,,,,,,,,,13,0.00,0.32,35.08,13,0.00,0.17,32.30
drisse,6,NC,,,,,,,,,4,0.17,0.62,37.90,4,0.14,0.37,35.63
drisses,7,NC,,,,,,,,,2,0.00,0.07,28.45,2,0.00,0.04,25.66
drogue,6,NC,,,,,,,,,5,0.00,0.25,34.03,5,0.00,0.13,31.24
droguerie,9,NC,,,,,,,,,1,0.00,0.03,24.35,1,0.00,0.01,21.57
drogues,7,NC,,,,,,,,,2,0.21,0.36,35.60,2,0.17,0.22,33.36
drogués,7,VER,,,,,,,,,2,0.00,0.05,26.61,2,0.00,0.02,23.83
droguiste,9,NC,,,,,1,0.00,0.19,32.89,2,0.21,0.34,35.36,3,0.28,0.46,36.61
droit,5,NC,6,0.61,22.43,53.51,29,0.89,74.45,58.72,126,0.86,78.79,58.96,161,0.84,70.94,58.51
droit,5,ADV,5,0.63,19.10,52.81,19,0.75,41.98,56.23,100,0.89,64.47,58.09,84,0.85,37.66,55.76
droit,5,ADJ,6,0.52,19.47,52.89,18,0.72,38.17,55.82,60,0.89,38.79,55.89,124,0.83,54.36,57.35
droite,6,NC,25,0.65,99.35,59.97,31,0.84,75.79,58.80,200,0.94,135.43,61.32,256,0.89,119.30,60.77
droite,6,ADJ,9,0.71,38.55,55.86,12,0.64,22.92,53.60,71,0.94,48.42,56.85,92,0.88,42.54,56.29
droites,7,ADJ,,,,,2,0.00,0.15,31.64,8,0.57,3.42,45.34,10,0.51,2.73,44.37
droites,7,NC,,,,,,,,,3,0.33,0.76,38.81,3,0.28,0.46,36.62
droitiers,9,NC,,,,,,,,,1,0.00,0.02,23.94,1,0.00,0.01,21.16
droits,6,ADJ,,,,,2,0.00,0.41,36.09,12,0.49,4.43,46.47,9,0.47,2.30,43.63
droits,6,NC,,,,,1,0.00,0.19,32.89,7,0.52,2.76,44.41,13,0.45,3.15,44.98
drolatiques,11,ADJ,,,,,,,,,1,0.00,0.02,23.72,1,0.00,0.01,20.94
drôle,5,ADJ,43,0.90,225.81,63.54,66,0.89,169.07,62.28,137,0.92,90.79,59.58,246,0.93,119.58,60.78
drôle,5,NC,8,0.58,28.82,54.60,23,0.66,45.05,56.54,50,0.88,31.94,55.04,81,0.83,35.49,55.50
drôlement,9,ADV,3,0.25,5.57,47.46,7,0.68,14.09,51.49,41,0.81,24.09,53.82,51,0.77,20.61,53.14
drôlerie,8,NC,,,,,,,,,2,0.21,0.33,35.20,2,0.17,0.20,32.99
drôles,6,ADJ,6,0.61,22.21,53.47,17,0.71,35.18,55.46,44,0.84,26.81,54.28,67,0.82,28.94,54.61
dromadaire,10,NC,1,0.00,0.53,37.27,11,0.67,21.94,53.41,43,0.46,14.62,51.65,55,0.53,15.56,51.92
dromadaires,11,NC,,,,,12,0.25,10.67,50.28,17,0.44,5.68,47.55,29,0.45,7.06,48.49
dromart,7,NP,,,,,,,,,4,0.00,0.10,29.96,4,0.00,0.05,27.18
drôme,5,NP,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
drop,4,NC,,,,,,,,,1,0.00,0.04,25.56,1,0.00,0.02,22.78
dru,3,ADJ,,,,,2,0.27,2.05,43.13,5,0.40,1.50,41.75,3,0.28,0.46,36.62
dru,3,ADV,,,,,,,,,1,0.00,0.02,23.94,5,0.33,0.91,39.57
drue,4,ADJ,,,,,1,0.00,0.25,33.94,2,0.00,0.06,27.70,3,0.16,0.28,34.53
drugstore,9,NC,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
druide,6,NC,,,,,5,0.00,0.86,39.33,4,0.31,0.98,39.91,9,0.29,1.42,41.53
druides,7,NC,,,,,4,0.00,0.69,38.36,3,0.19,0.52,37.19,7,0.24,0.95,39.78
drus,4,ADJ,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
dryade,6,NC,,,,,,,,,1,0.00,0.01,21.66,1,0.00,0.01,18.88
du,2,DET,1 144,0.98,6 517.12,78.14,2 525,0.97,6 991.62,78.45,11 702,0.97,8 184.73,79.13,15 371,0.94,7 578.67,78.80
dû,2,VER,4,0.54,13.52,51.31,22,0.81,51.66,57.13,167,0.94,113.67,60.56,193,0.86,87.34,59.41
dû,2,ADJ,,,,,,,,,2,0.21,0.36,35.55,2,0.17,0.21,33.31
dû,2,NC,,,,,,,,,1,0.00,0.03,24.35,1,0.00,0.01,21.57
du guesclin,11,NP,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
duc,3,NC,,,,,9,0.39,11.29,50.53,18,0.55,7.41,48.70,27,0.55,7.95,49.00
duc,3,NP,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
ducasse,7,NP,,,,,,,,,1,0.00,0.04,25.56,1,0.00,0.02,22.78
duchesse,8,NC,,,,,6,0.39,7.42,48.70,21,0.17,3.40,45.31,27,0.30,4.63,46.65
duchesses,9,NC,,,,,,,,,1,0.00,0.02,23.60,1,0.00,0.01,20.82
ducroc,6,NP,,,,,,,,,9,0.00,0.21,33.26,9,0.00,0.11,30.48
ducs,4,NC,,,,,,,,,2,0.21,0.36,35.56,2,0.17,0.21,33.32
due,3,ADJ,,,,,1,0.00,0.25,33.94,5,0.40,1.53,41.85,4,0.26,0.58,37.60
due,3,VER,,,,,,,,,3,0.19,0.46,36.65,5,0.33,0.93,39.67
duel,4,NC,,,,,,,,,11,0.52,4.30,46.33,11,0.43,2.61,44.16
duels,5,NC,,,,,,,,,1,0.00,0.02,22.55,1,0.00,0.01,19.77
dues,4,VER,,,,,1,0.00,0.25,33.94,2,0.21,0.36,35.59,3,0.28,0.47,36.71
dufour,6,NP,,,,,,,,,1,0.00,0.02,22.39,1,0.00,0.01,19.61
duick,5,NP,,,,,,,,,4,0.00,0.14,31.46,4,0.00,0.07,28.67
dumas,5,NP,,,,,,,,,1,0.00,0.02,23.95,1,0.00,0.01,21.17
dumbo,5,NP,5,0.00,3.05,44.85,6,0.00,1.22,40.88,,,,,11,0.17,1.05,40.21
dûment,6,ADV,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
dumeron,7,NP,,,,,,,,,1,0.00,0.02,23.48,1,0.00,0.01,20.70
dumollet,8,NP,,,,,,,,,64,0.00,1.43,41.54,64,0.00,0.75,38.76
dumouton,8,NP,,,,,4,0.00,1.16,40.63,,,,,4,0.00,0.04,25.92
dune,4,NC,,,,,5,0.52,8.05,49.06,20,0.63,9.29,49.68,25,0.61,8.15,49.11
dune,4,NP,,,,,1,0.00,0.21,33.29,,,,,1,0.00,0.01,18.58
dunes,5,NC,3,0.00,0.46,36.63,9,0.27,8.26,49.17,17,0.68,8.46,49.28,29,0.61,9.44,49.75
dunkerque,9,NP,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
dunlop,6,NP,,,,,,,,,1,0.00,0.02,23.48,1,0.00,0.01,20.70
duo,3,NC,,,,,,,,,12,0.25,2.32,43.66,12,0.21,1.40,41.47
dupa,4,VER,,,,,,,,,1,0.00,0.02,23.48,1,0.00,0.01,20.70
dupe,4,ADJ,,,,,,,,,1,0.00,0.03,24.43,1,0.00,0.01,21.65
dupé,4,VER,,,,,,,,,4,0.31,0.98,39.93,4,0.26,0.59,37.73
dupée,5,VER,1,0.00,0.61,37.86,,,,,,,,,1,0.00,0.00,16.96
duper,5,VER,,,,,,,,,3,0.00,0.08,29.18,3,0.00,0.04,26.40
dupes,5,NC,,,,,,,,,6,0.00,0.17,32.19,6,0.00,0.09,29.41
dupés,5,VER,,,,,,,,,5,0.20,0.82,39.16,5,0.17,0.49,36.94
duplo,5,NP,,,,,,,,,1,0.00,0.02,23.48,1,0.00,0.01,20.70
dupond,6,NP,,,,,,,,,2,0.21,0.33,35.25,2,0.17,0.20,33.03
dupond-dupont,13,NP,,,,,,,,,7,0.00,0.17,32.39,7,0.00,0.09,29.61
dupont,6,NP,,,,,1,0.00,0.23,33.69,104,0.25,20.69,53.16,105,0.22,13.16,51.19
duquel,6,PRO,1,0.00,0.61,37.86,5,0.52,7.98,49.02,29,0.73,15.59,51.93,35,0.69,12.81,51.07
dur,3,ADJ,13,0.69,53.97,57.32,12,0.66,23.79,53.76,73,0.89,47.17,56.74,98,0.85,43.95,56.43
dur,3,ADV,3,0.25,5.64,47.51,3,0.43,4.13,46.16,12,0.64,5.68,47.54,13,0.48,3.34,45.24
dur,3,NC,5,0.00,3.12,44.93,3,0.43,4.13,46.16,7,0.29,1.53,41.85,20,0.60,6.36,48.03
dura,4,VER,1,0.00,0.53,37.27,4,0.54,6.49,48.12,24,0.73,12.87,51.10,29,0.69,10.62,50.26
durable,7,ADJ,,,,,,,,,6,0.47,2.14,43.31,6,0.39,1.30,41.13
durables,8,ADJ,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
duraient,8,VER,,,,,,,,,2,0.21,0.35,35.49,2,0.17,0.21,33.26
durait,6,VER,,,,,1,0.00,0.29,34.61,7,0.52,2.75,44.39,8,0.48,2.07,43.15
durance,7,NP,,,,,,,,,2,0.00,0.07,28.57,2,0.00,0.04,25.79
durand,6,NP,,,,,,,,,4,0.31,1.00,39.99,4,0.26,0.60,37.79
durant,6,PRE,2,0.27,3.78,45.77,5,0.52,7.82,48.93,70,0.87,44.20,56.45,77,0.78,31.58,54.99
durant,6,VER,1,0.00,0.52,37.18,1,0.00,0.17,32.34,15,0.70,7.70,48.86,17,0.63,5.67,47.53
durant,6,NP,,,,,,,,,2,0.00,0.09,29.55,2,0.00,0.05,26.77
durci,5,ADJ,,,,,,,,,3,0.00,0.15,31.81,2,0.17,0.20,32.96
durci,5,VER,,,,,,,,,2,0.21,0.33,35.16,3,0.00,0.08,29.03
durcie,6,VER,,,,,,,,,2,0.21,0.37,35.66,2,0.17,0.22,33.41
durcies,7,ADJ,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.91
durcir,6,VER,,,,,1,0.00,0.22,33.41,5,0.32,1.29,41.10,6,0.33,1.13,40.52
durcissait,10,VER,,,,,,,,,2,0.21,0.36,35.58,2,0.17,0.22,33.34
durcissent,10,VER,1,0.00,0.61,37.86,,,,,,,,,1,0.00,0.00,16.96
durcit,6,VER,1,0.00,0.42,36.25,1,0.00,0.20,33.09,4,0.17,0.56,37.49,6,0.31,1.02,40.08
dure,4,VER,5,0.41,13.44,51.28,7,0.68,14.05,51.48,36,0.75,19.73,52.95,44,0.76,17.53,52.44
dure,4,ADJ,4,0.41,10.48,50.20,6,0.61,11.01,50.42,32,0.76,17.76,52.49,46,0.73,17.79,52.50
duré,4,VER,2,0.27,3.78,45.77,1,0.00,0.36,35.59,21,0.68,10.49,50.21,24,0.63,7.99,49.03
durée,5,NC,,,,,8,0.51,12.70,51.04,37,0.77,20.90,53.20,45,0.71,16.87,52.27
durée,5,VER,,,,,,,,,7,0.52,2.76,44.41,7,0.44,1.67,42.24
durées,6,NC,,,,,,,,,3,0.33,0.76,38.84,3,0.28,0.46,36.65
durement,8,ADV,,,,,1,0.00,0.34,35.35,12,0.68,5.98,47.77,13,0.59,4.10,46.13
durent,6,VER,1,0.00,0.42,36.25,5,0.52,8.05,49.06,14,0.64,6.66,48.23,20,0.65,6.87,48.37
durer,5,VER,1,0.00,0.62,37.95,9,0.59,16.07,52.06,23,0.79,13.25,51.22,33,0.74,12.94,51.12
durera,6,VER,1,0.00,0.61,37.82,1,0.00,0.34,35.35,5,0.48,1.82,42.60,7,0.49,1.84,42.64
durerait,8,VER,,,,,,,,,3,0.33,0.79,38.95,3,0.28,0.47,36.75
durèrent,8,VER,,,,,1,0.00,0.25,33.94,3,0.33,0.78,38.91,4,0.35,0.77,38.85
dureront,8,VER,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
dures,5,ADJ,,,,,3,0.43,3.99,46.01,7,0.52,2.75,44.39,10,0.54,2.90,44.62
dureté,6,NC,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
durillon,8,NC,,,,,,,,,1,0.00,0.02,22.40,1,0.00,0.01,19.62
durs,4,ADJ,4,0.27,7.78,48.91,4,0.41,5.37,47.30,16,0.60,7.16,48.55,24,0.63,7.99,49.02
durs,4,NC,,,,,3,0.43,3.94,45.95,1,0.00,0.03,24.69,4,0.35,0.75,38.74
dus,3,VER,,,,,,,,,10,0.65,4.80,46.81,10,0.54,2.92,44.65
dusen,5,NP,,,,,,,,,2,0.00,0.10,30.05,2,0.00,0.05,27.27
dut,3,VER,1,0.00,0.50,37.03,5,0.41,6.66,48.24,44,0.80,25.61,54.08,50,0.72,19.04,52.80
dût,3,VER,,,,,,,,,3,0.33,0.77,38.87,3,0.28,0.47,36.67
duval,5,NP,2,0.00,1.05,40.19,3,0.25,2.64,44.21,,,,,5,0.26,0.72,38.55
duvet,5,NC,6,0.00,3.14,44.96,15,0.51,23.29,53.67,12,0.71,6.25,47.96,33,0.62,10.89,50.37
duvet,5,NP,1,0.00,0.52,37.18,,,,,,,,,1,0.00,0.00,16.29
duveteuse,9,ADJ,,,,,,,,,2,0.21,0.35,35.38,2,0.17,0.21,33.16
duveteuses,10,ADJ,,,,,,,,,1,0.00,0.02,22.19,1,0.00,0.01,19.40
duveteux,8,ADJ,,,,,,,,,1,0.00,0.02,23.94,1,0.00,0.01,21.16
duvets,6,NC,,,,,1,0.00,0.23,33.69,1,0.00,0.03,25.43,2,0.17,0.20,33.09
dynamique,9,ADJ,,,,,,,,,3,0.19,0.46,36.64,3,0.16,0.28,34.43
dynamique,9,NC,,,,,,,,,1,0.00,0.04,25.56,1,0.00,0.02,22.78
dynamisme,9,NC,,,,,,,,,3,0.33,0.76,38.79,3,0.28,0.46,36.60
dynamite,8,NC,,,,,,,,,1,0.00,0.01,21.66,1,0.00,0.01,18.88
dynamo,6,NC,,,,,,,,,1,0.00,0.02,23.72,1,0.00,0.01,20.94
dynastie,8,NC,,,,,,,,,4,0.21,0.67,38.23,4,0.17,0.40,36.02
dytique,7,NC,,,,,,,,,3,0.00,0.03,24.70,3,0.00,0.02,21.92
dytiscus,8,NP,,,,,,,,,1,0.00,0.01,19.93,1,0.00,0.01,17.15
eagle,5,NP,,,,,,,,,12,0.00,0.61,37.83,12,0.00,0.32,35.05
earing,6,NP,,,,,,,,,6,0.00,0.17,32.21,6,0.00,0.09,29.43
eau,3,NC,214,0.92,1 148.41,70.60,404,0.94,1 083.27,70.35,1 341,0.97,938.80,69.73,1 959,0.95,975.85,69.89
eau-de-vie,10,NC,,,,,,,,,9,0.43,2.94,44.68,9,0.36,1.78,42.50
eaux,4,NC,1,0.00,0.61,37.82,7,0.76,15.55,51.92,97,0.81,57.31,57.58,105,0.73,40.75,56.10
ébahi,5,ADJ,,,,,,,,,9,0.47,3.20,45.06,9,0.40,1.94,42.88
ébahi,5,VER,,,,,,,,,2,0.21,0.36,35.59,2,0.17,0.22,33.34
ébahie,6,ADJ,,,,,1,0.00,0.25,33.94,1,0.00,0.05,27.04,2,0.17,0.21,33.24
ébahie,6,VER,,,,,,,,,1,0.00,0.02,22.40,1,0.00,0.01,19.62
ébahir,6,VER,,,,,,,,,1,0.00,0.02,23.94,1,0.00,0.01,21.16
ébahis,6,ADJ,,,,,,,,,3,0.33,0.78,38.94,3,0.28,0.47,36.74
ébahis,6,VER,,,,,,,,,3,0.33,0.77,38.84,3,0.28,0.46,36.65
ébat,4,VER,,,,,,,,,1,0.00,0.02,23.95,1,0.00,0.01,21.17
ébats,5,NC,,,,,1,0.00,0.25,33.94,1,0.00,0.02,23.48,2,0.17,0.20,32.98
ébattaient,10,VER,,,,,,,,,2,0.21,0.35,35.49,2,0.17,0.21,33.26
ébattre,7,VER,,,,,,,,,2,0.21,0.36,35.54,2,0.17,0.21,33.30
ébauche,7,NC,,,,,,,,,2,0.21,0.36,35.54,2,0.17,0.21,33.30
ébauchent,9,VER,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
ébène,5,NC,3,0.00,1.51,41.80,1,0.00,0.17,32.34,3,0.19,0.51,37.07,7,0.32,1.23,40.89
ébéniste,8,NC,,,,,,,,,1,0.00,0.01,21.66,1,0.00,0.01,18.88
eberhard,8,NP,,,,,,,,,3,0.00,0.14,31.36,3,0.00,0.07,28.58
éberlué,7,ADJ,1,0.00,0.61,37.82,,,,,7,0.29,1.56,41.93,8,0.30,1.33,41.25
éberlué,7,VER,,,,,,,,,1,0.00,0.02,22.19,1,0.00,0.01,19.40
éberluée,8,ADJ,,,,,1,0.00,0.29,34.61,1,0.00,0.03,24.69,2,0.17,0.20,33.07
éberluée,8,VER,,,,,,,,,1,0.00,0.02,22.49,1,0.00,0.01,19.71
éberluées,9,ADJ,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
éberlués,8,ADJ,,,,,,,,,3,0.19,0.45,36.57,3,0.16,0.27,34.36
éberlués,8,VER,,,,,,,,,1,0.00,0.03,24.35,1,0.00,0.01,21.57
ébloui,6,VER,,,,,1,0.00,0.19,32.89,3,0.33,0.79,38.98,2,0.17,0.21,33.12
ébloui,6,ADJ,,,,,,,,,1,0.00,0.04,26.11,3,0.28,0.48,36.78
éblouie,7,VER,,,,,,,,,1,0.00,0.02,23.48,1,0.00,0.01,20.70
éblouir,7,VER,,,,,,,,,6,0.47,2.13,43.28,6,0.39,1.29,41.11
éblouis,7,ADJ,,,,,1,0.00,0.34,35.35,3,0.19,0.51,37.11,4,0.26,0.60,37.80
éblouis,7,VER,,,,,,,,,3,0.33,0.78,38.90,3,0.28,0.47,36.70
éblouissaient,13,VER,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
éblouissant,11,ADJ,,,,,1,0.00,0.25,33.94,2,0.21,0.35,35.44,3,0.28,0.46,36.65
éblouissant,11,VER,,,,,,,,,2,0.21,0.34,35.36,2,0.17,0.21,33.14
éblouissante,12,ADJ,,,,,,,,,5,0.40,1.53,41.86,5,0.33,0.93,39.68
éblouissants,12,ADJ,,,,,,,,,1,0.00,0.02,22.40,1,0.00,0.01,19.62
éblouissement,13,NC,,,,,,,,,4,0.42,1.29,41.09,4,0.35,0.78,38.91
éblouissent,11,VER,,,,,1,0.00,0.20,33.09,,,,,1,0.00,0.01,18.38
éblouit,7,VER,,,,,1,0.00,0.36,35.59,3,0.33,0.78,38.92,4,0.35,0.77,38.86
éborgnée,8,VER,,,,,1,0.00,0.22,33.41,,,,,1,0.00,0.01,18.70
éborgner,8,VER,,,,,,,,,2,0.21,0.35,35.46,2,0.17,0.21,33.23
éboueur,7,NC,,,,,,,,,2,0.21,0.34,35.38,2,0.17,0.21,33.15
éboueurs,8,NC,,,,,1,0.00,0.36,35.59,2,0.21,0.34,35.38,3,0.28,0.46,36.66
ébouillanter,12,VER,,,,,,,,,1,0.00,0.02,23.62,1,0.00,0.01,20.84
éboule,6,VER,,,,,,,,,2,0.21,0.33,35.18,2,0.17,0.20,32.97
éboulement,10,NC,,,,,,,,,3,0.33,0.79,38.97,3,0.28,0.48,36.77
éboulements,11,NC,,,,,,,,,2,0.21,0.35,35.45,2,0.17,0.21,33.22
éboulent,8,VER,,,,,,,,,1,0.00,0.03,24.43,1,0.00,0.01,21.65
éboulis,7,NC,,,,,,,,,7,0.29,1.66,42.21,7,0.24,1.00,40.00
ébouriffa,9,VER,,,,,1,0.00,0.29,34.61,,,,,1,0.00,0.01,19.90
ébouriffait,11,VER,,,,,,,,,4,0.42,1.27,41.02,4,0.35,0.77,38.84
ébouriffant,11,VER,,,,,,,,,1,0.00,0.03,24.35,1,0.00,0.01,21.57
ébouriffante,12,ADJ,,,,,,,,,1,0.00,0.02,22.72,1,0.00,0.01,19.94
ébouriffe,9,VER,,,,,1,0.00,0.20,33.09,2,0.21,0.34,35.31,3,0.28,0.46,36.60
ébouriffée,10,ADJ,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
ébouriffée,10,VER,,,,,,,,,1,0.00,0.02,22.40,1,0.00,0.01,19.62
ébouriffées,11,ADJ,,,,,,,,,2,0.21,0.36,35.54,2,0.17,0.21,33.30
ébouriffées,11,VER,,,,,,,,,1,0.00,0.02,22.72,1,0.00,0.01,19.94
ébouriffés,10,ADJ,1,0.00,0.61,37.86,1,0.00,0.34,35.35,1,0.00,0.03,25.43,3,0.28,0.46,36.61
ébouriffés,10,VER,,,,,,,,,1,0.00,0.03,24.35,1,0.00,0.01,21.57
ébranché,8,VER,,,,,,,,,1,0.00,0.04,25.56,1,0.00,0.02,22.78
ébrancher,9,VER,,,,,,,,,3,0.00,0.11,30.33,3,0.00,0.06,27.55
ébranla,7,VER,,,,,,,,,5,0.40,1.56,41.93,5,0.33,0.94,39.74
ébranlaient,11,VER,,,,,2,0.00,0.34,35.35,,,,,2,0.00,0.01,20.63
ébranlait,9,VER,,,,,,,,,2,0.21,0.35,35.43,2,0.17,0.21,33.20
ébranle,7,VER,,,,,,,,,4,0.31,0.96,39.83,4,0.26,0.58,37.64
ébranlé,7,VER,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
ébranlent,9,VER,,,,,,,,,1,0.00,0.01,21.66,1,0.00,0.01,18.88
ébranler,8,VER,,,,,1,0.00,0.25,33.94,3,0.19,0.48,36.81,4,0.26,0.58,37.66
ébréché,7,VER,,,,,,,,,1,0.00,0.03,24.35,1,0.00,0.01,21.57
ébréchée,8,ADJ,,,,,,,,,1,0.00,0.02,22.40,1,0.00,0.01,19.62
ébriété,7,NC,,,,,,,,,2,0.00,0.10,30.05,2,0.00,0.05,27.27
ébroua,6,VER,,,,,1,0.00,0.34,35.35,5,0.32,1.23,40.91,6,0.33,1.10,40.42
ébrouant,8,VER,,,,,,,,,4,0.17,0.65,38.13,4,0.14,0.38,35.85
ébroue,6,VER,,,,,,,,,1,0.00,0.02,23.72,1,0.00,0.01,20.94
ébrouement,10,NC,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
ébrouements,11,NC,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
ébrouer,7,VER,,,,,,,,,2,0.21,0.36,35.55,2,0.17,0.21,33.31
ébrouèrent,10,VER,,,,,1,0.00,0.34,35.35,,,,,1,0.00,0.01,20.64
ébruiter,8,VER,,,,,,,,,2,0.21,0.37,35.71,2,0.17,0.22,33.46
ébullition,10,NC,,,,,2,0.00,0.44,36.42,6,0.54,2.42,43.84,8,0.48,2.06,43.15
écaille,7,NC,2,0.27,3.89,45.90,,,,,12,0.51,4.54,46.57,14,0.49,3.69,45.66
écaille,7,VER,,,,,,,,,3,0.19,0.53,37.23,3,0.16,0.31,34.96
écailler,8,VER,,,,,,,,,2,0.21,0.34,35.29,2,0.17,0.20,33.07
écaillère,9,NC,,,,,1,0.00,0.36,35.59,,,,,1,0.00,0.01,20.87
écailles,8,NC,1,0.00,0.61,37.82,12,0.59,21.49,53.32,19,0.68,9.55,49.80,32,0.68,11.50,50.61
écaillez,8,VER,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
écarlate,8,ADJ,,,,,,,,,5,0.40,1.52,41.83,5,0.33,0.92,39.65
écarlate,8,NC,,,,,,,,,2,0.21,0.34,35.27,2,0.17,0.20,33.05
écarlates,9,ADJ,,,,,1,0.00,0.07,28.63,5,0.48,1.82,42.61,6,0.45,1.46,41.64
écarlates,9,NC,,,,,,,,,1,0.00,0.02,23.72,1,0.00,0.01,20.94
écarquilla,10,VER,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.91
écarquillait,12,VER,,,,,,,,,6,0.30,1.43,41.57,6,0.25,0.86,39.37
écarquillant,12,VER,,,,,,,,,3,0.19,0.48,36.84,3,0.16,0.29,34.61
écarquille,10,VER,,,,,2,0.27,1.86,42.70,4,0.42,1.25,40.98,6,0.45,1.45,41.60
écarquillèrent,14,VER,,,,,,,,,2,0.00,0.05,26.95,2,0.00,0.03,24.17
écarquillés,11,VER,1,0.00,0.42,36.25,2,0.27,2.05,43.13,4,0.31,0.98,39.91,7,0.44,1.66,42.19
écart,5,NC,,,,,2,0.27,1.88,42.73,23,0.76,12.84,51.09,25,0.67,8.91,49.50
écarta,6,VER,1,0.00,0.61,37.82,3,0.25,2.63,44.20,9,0.50,3.40,45.32,13,0.53,3.66,45.64
écartai,7,VER,,,,,,,,,2,0.21,0.35,35.40,2,0.17,0.21,33.17
écartait,8,VER,,,,,,,,,5,0.48,1.83,42.63,5,0.40,1.11,40.46
écartant,8,VER,,,,,1,0.00,0.22,33.41,5,0.48,1.82,42.61,6,0.45,1.46,41.65
écarte,6,VER,7,0.60,25.77,54.11,2,0.27,1.84,42.64,7,0.52,2.75,44.40,16,0.63,5.33,47.27
écarté,6,VER,1,0.00,0.61,37.82,3,0.43,4.08,46.11,4,0.42,1.25,40.96,8,0.52,2.22,43.46
écarté,6,ADJ,,,,,,,,,3,0.33,0.76,38.82,3,0.28,0.46,36.63
écartée,7,VER,,,,,,,,,3,0.00,0.15,31.81,3,0.00,0.08,29.03
